Date,Client,CampaignSegment,Attempt,Calls,Leads
2026-08-27,HAIL,COMMERCIAL,1,101,0
2026-08-27,HAIL,COMMERCIAL,2,38,0
2026-08-27,HAIL,COMMERCIAL,3,61,0
2026-08-27,HAIL,COMMERCIAL,4,141,0
2026-08-27,HAIL,COMMERCIAL,5,35,0
2026-08-27,HAIL,COMMERCIAL,6,10,0
2026-08-27,HAIL,COMMERCIAL,7,8,0
2026-08-27,HAIL,COMMERCIAL,8,4,0
2026-08-27,HAIL,COMMERCIAL,9,8,0
2026-08-27,HAIL,COMMERCIAL,10,46,1
2026-08-27,HAIL,RESIDENTIAL,1,1017,0
2026-08-27,HAIL,RESIDENTIAL,2,2064,1
2026-08-27,HAIL,RESIDENTIAL,3,858,0
2026-08-27,HAIL,RESIDENTIAL,4,2803,1
2026-08-27,HAIL,RESIDENTIAL,5,352,0
2026-08-27,HAIL,RESIDENTIAL,6,5,0
2026-08-27,HAIL,RESIDENTIAL,7,1612,0
2026-08-27,HAIL,RESIDENTIAL,8,99,0
2026-08-27,HAIL,RESIDENTIAL,9,23,0
2026-08-27,HAIL,RESIDENTIAL,10,1457,0
2026-08-27,OHS,FP5,1,208,2
2026-08-27,OHS,FP5,2,385,3
2026-08-27,OHS,FP5,3,584,3
2026-08-27,OHS,FP5,4,31,2
2026-08-27,OHS,FP5,5,1,0
2026-08-27,SE,RENEW,1,1,0
2026-08-27,SE,RENEW,2,9,0
2026-08-27,SE,RENEW,3,156,1
2026-08-27,SE,RENEW,4,83,0
2026-08-27,SE,RENEW,5,35,0
2026-08-27,SE,RENEW,6,8,0
2026-08-27,SE,RENEW,7,3,0
2026-08-27,OTHER,OTHER,1,570,3
2026-08-27,OTHER,OTHER,2,1561,4
2026-08-27,OTHER,OTHER,3,218,5
2026-08-27,OTHER,OTHER,4,160,0
2026-08-27,OTHER,OTHER,5,286,3
2026-08-27,OTHER,OTHER,6,42,1
2026-08-27,OTHER,OTHER,7,53,2
2026-08-27,OTHER,OTHER,8,31,0
2026-08-27,OTHER,OTHER,9,11,0
2026-08-27,OTHER,OTHER,10,4,0
2026-08-27,OTHER,ACTIVE,1,627,3
2026-08-27,OTHER,ACTIVE,2,146,1
2026-08-27,OTHER,ACTIVE,3,722,8
2026-08-27,OTHER,ACTIVE,4,58,1
2026-08-27,OTHER,ACTIVE,5,77,1
2026-08-27,OTHER,ACTIVE,6,72,0
2026-08-27,OTHER,ACTIVE,7,7,0
2026-08-27,OTHER,ACTIVE,8,7,0
2026-08-27,OTHER,ACTIVE,9,5,0
2026-08-27,OHS,PROB ENROLL,3,340,5
2026-08-27,OHS,PROB ENROLL,4,62,0
2026-08-27,OHS,PROB ENROLL,5,1,0
2026-08-27,ABC,ACTIVE,4,2,0
