Date,Client,CampaignSegment,Calls,Contacts,Leads,Denom,ListSize,AvgSTLsec,PayrollHours,SalesOpp
2026-08-27,A1G,PRIORITY,15468,319,23,,166683,,,2
2026-08-27,A1G,STL,48,8,7,,5741,,,2
2026-08-27,ABC,ACTIVE,1,0,0,,2760,,,
2026-08-27,OTHER,OTHER,2667,134,18,,10412,,,1
2026-08-27,HAIL,RESIDENTIAL,9751,107,2,,39526,,,
2026-08-27,SE,RENEW,247,9,1,,321,,,
2026-08-27,OTHER,ACTIVE,1519,102,14,,4052,,,3
2026-08-27,HAIL,COMMERCIAL,227,54,1,,2692,,,
2026-08-27,SE,ACTIVE,8871,332,34,,25087,,,8
2026-08-27,OHS,FP5,1091,55,10,,1801,,,
2026-08-27,OHS,PROB ENROLL,355,27,5,,467,,,
2026-08-28,A1G,PRIORITY,19446,663,39,,292430,,,
2026-08-28,A1G,STL,57,5,2,,5381,,,
2026-08-28,ABC,ACTIVE,43,1,0,,1848,,,
2026-08-28,OTHER,RENEW,685,37,3,,763,,,
2026-08-28,OTHER,OTHER,1041,94,17,,3616,,,
2026-08-28,HAIL,RESIDENTIAL,5305,38,4,,25851,,,
2026-08-28,SE,ACTIVE,8606,509,85,,15919,,,
2026-08-28,SE,RENEW,111,6,1,,152,,,
2026-08-28,HAIL,COMMERCIAL,81,12,1,,3196,,,
2026-08-28,OHS,FP5,1105,86,27,,2531,,,
2026-08-28,OHS,PROB ENROLL,351,22,8,,1235,,,
2026-08-28,OTHER,ACTIVE,1155,68,10,,1473,,,
